direction,index,angle_deg,x_m,y_m,z_m,wire_vx,wire_vy,wire_vz,R00,R01,R02,R10,R11,R12,R20,R21,R22
X_PLUS,0,0.0,-0.9754656918581711,-0.8692478042750181,0.26253116852751085,-0.20590286729876023,-0.1413637903849039,-0.9683079510187667,-0.1544149288058235,-0.9539942495825444,0.2570038939886522,0.06722421232590027,0.24937622441998136,0.9660705998896755,-0.9857164577296328,0.1664526072414397,0.025624100051948383
X_PLUS,1,1.0,-0.9761420368599057,-0.8691385649396649,0.26266533150969373,-0.2228114923421263,-0.13863280700107475,-0.9649538764641952,-0.1713617666402953,-0.9510962850356354,0.2570038939886522,0.07164990298547158,0.2481408620742967,0.9660705998896755,-0.9825993264480134,0.18396186876751996,0.025624100051948383
X_PLUS,2,2.0,-0.9768156670400808,-0.8690276364484726,0.26281125186381615,-0.23965224684650166,-0.13585959472126696,-0.9613058676111348,-0.18826650555114763,-0.9478948894061141,0.2570038939886522,0.07605607691163906,0.24682598970451525,0.9660705998896755,-0.9791686249325856,0.20142544388472175,0.025624100051948383
X_PLUS,3,3.0,-0.9774863772044177,-0.8689150525913342,0.26296888514112465,-0.25642000095492407,-0.13304499829280558,-0.957365035678421,-0.2051232620754475,-0.9443905155338002,0.2570038939886522,0.08044118245056764,0.2454318891154064,0.9660705998896755,-0.9754248630835087,0.2188372499714022,0.025624100051948383
X_PLUS,4,4.0,-0.9781539630481031,-0.8688008476623831,0.26313818332499606,-0.2731096470470593,-0.1301898750690284,-0.953132581081636,-0.2219261390707749,-0.9405837481435709,0.2570038939886522,0.08480366793026227,0.2439588775477876,0.9660705998896755,-0.9713686873184213,0.23619119118590098,0.025624100051948383
X_PLUS,5,5.0,-0.978818221218022,-0.8686850564495471,0.2633190948455635,-0.28971610129503145,-0.12729509474812756,-0.9486097930674512,-0.23866922965699594,-0.9364753052214488,0.2570038939886522,0.08914198274621582,0.24240730793620058,0.9660705998896755,-0.9670008819680619,0.2534811625535875,0.025624100051948383
X_PLUS,6,6.0,-0.9794789493747009,-0.8685677142239512,0.2635115645954252,-0.3062343052120062,-0.12436153910823114,-0.9437980493209084,-0.2553466212532946,-0.9320660392317682,0.2570038939886522,0.09345457846802069,0.24077756912172527,0.9660705998896755,-0.9623223705068334,0.2707010541513214,0.025624100051948383
X_PLUS,7,7.0,-0.980135946253943,-0.8684488567291742,0.2637155339464309,-0.32265922719305506,-0.1213901017388051,-0.9386988155457655,-0.2719523997025732,-0.927356938169269,0.2570038939886522,0.09773990996467781,0.2390700860185132,0.9660705998896755,-0.9573342166119984,0.28784475538112414,0.025624100051948383
X_PLUS,8,8.0,-0.9807890117281339,-0.8683285201703602,0.2639309407675404,-0.3389858640478308,-0.11838168776845709,-0.9333136450180278,-0.2884806534749056,-0.9223491264403957,0.2570038939886522,0.10199643654623534,0.23728531973274797,0.9660705998896755,-0.9520376250456498,0.30490615932441656,0.025624100051948383
X_PLUS,9,9.0,-0.9814379468672042,-0.868206741203191,0.26415771944374933,-0.35520924252458774,-0.11533721358922563,-0.9276441781128052,-0.30492547794131947,-0.9170438655685602,0.2570038939886522,0.106222623119294,0.23542376763287745,0.9660705998896755,-0.946433942354095,0.3218791671677641,0.025624100051948383
X_PLUS,10,10.0,-0.9820825539992241,-0.8680835569227194,0.26439580089607595,-0.37132442082508255,-0.11225760657743825,-0.9216921418046387,-0.3212809797088081,-0.9114425547186273,0.2570038939886522,0.11041694135382996,0.23348596337010818,0.9660705998896755,-0.9405246573798123,0.3387576926906818,0.025624100051948383
X_PLUS,11,11.0,-0.9827226367706164,-0.8679590048520709,0.2646451126026037,-0.3873264901098935,-0.10914380481122349,-0.915459349141446,-0.3375412810071299,-0.9055467310364139,0.2570038939886522,0.11457787085870999,0.23147247684830136,0.9660705998896755,-0.9343114015816947,0.3555356668057048,0.025624100051948383
X_PLUS,12,12.0,-0.9833580002059688,-0.8678331229310124,0.26490557862057146,-0.40321057599370114,-0.1059967567847635,-0.9089476986922513,-0.3537005241176405,-0.8993580697995521,0.2570038939886522,0.11870390036320506,0.22938391414256779,0.9660705998896755,-0.9277959491598725,0.37220704214060624,0.025624100051948383
X_PLUS,13,13.0,-0.9839884507674236,-0.8677059495043968,0.2651771196095071,-0.4189718400300726,-0.1028174211193732,-0.9021591739688606,-0.3697528758341346,-0.8928783843766499,0.2570038939886522,0.12279352890175382,0.2272209173660224,0.9660705998896755,-0.920980216982016,0.38876579765237385,0.025624100051948383
X_PLUS,14,14.0,-0.9846137964136327,-0.8675775233104818,0.26545965285539486,-0.4346054811852994,-0.0996067662714952,-0.8950958428216669,-0.3856925319454316,-0.8861096259922876,0.2570038939886522,0.12684526699917958,0.2249841644843243,0.9660705998896755,-0.91386626430864,0.4052059432623103,0.025624100051948383
X_PLUS,15,14.999999999999998,-0.9852338466582543,-0.8674478834691299,0.2657530922958711,-0.45010673730083933,-0.09636577023769853,-0.8877598568097617,-0.4015137217292545,-0.8790538832960084,0.2570038939886522,0.13085763785353166,0.22267436907780067,0.9660705998896755,-0.9064562923155847,0.42152152450143154,0.025624100051948383
